strategy,final_capital,total_return,total_trades,win_rate,profit_factor,max_drawdown,expectancy,composite_score
RSI + Bollinger Combo,11742.34891949797,17.42348919497969,11,81.81818181818183,5.00471199612698,2.9451536151963045,158.39535631799748,61.04828248185257
Filtered Bollinger (ADX<25),11321.994968998404,13.219949689984034,7,71.42857142857143,3.7707438507316655,6.316106881647501,188.8564241426293,48.827026501872616
Bollinger Bands,11096.51275892254,10.965127589225387,8,62.5,2.6507777347451125,6.281962311733203,137.06409486531763,45.57617346722189
Stochastic Oscillator,10448.235842410922,4.482358424109223,23,69.56521739130434,1.2690691468617332,7.106632911384558,19.48851488743145,41.56826670951113
MA + RSI Filter,10719.18890622373,7.191889062237289,6,50.0,2.155245914159592,9.369058245420476,119.86481770395476,40.08358243223274
Keltner Channels,10315.923031187347,3.159230311873462,8,50.0,1.3307513443735606,9.138901847145977,39.49037889841833,38.11805682225081
MACD Momentum,10374.64720473244,3.7464720473244117,29,37.93103448275862,1.1756106058321936,10.275990792898652,12.918869128704998,36.147693949694215
Buy & Hold,13420.12924405303,34.201292440530295,0,0.0,0.0,32.11304460811117,0.0,16.073533743753202
